{'reviewerId': '4I5XKBrpWsBOVWlP8zly_A', 'rank': 0.0001}
{'reviewerId': '5F_ASUSCHFf3YotkKioZ5w', 'rank': 0.1867}
{'reviewerId': 'RVo4ydYRjDbDfGcSSBRCEg', 'rank': 0.1883}
{'reviewerId': 'R6N6spliGrul2c8IXY7_bw', 'rank': 0.1888}
{'reviewerId': 'X0q4bFpolUwr_MOKEURbHg', 'rank': 0.1909}
{'reviewerId': 'NN5jldDW0Puf8E3ZZjKqsg', 'rank': 0.1941}
{'reviewerId': 'VHdY6oG2JPVNjihWhOooAQ', 'rank': 0.2027}
{'reviewerId': '7d3rYzfoTp-xRu2OUjd76w', 'rank': 0.2033}
{'reviewerId': 'eCcjxh8zjAqn-kZVWZ_HJQ', 'rank': 0.2058}
{'reviewerId': 'wgDpdHHou5zVH1gKL2lY9w', 'rank': 0.2069}
{'reviewerId': 'd-Esnujp9CpNWOC7rKPMDg', 'rank': 0.2099}
{'reviewerId': 'kORGcgi0Iw2RG8gJl84MVA', 'rank': 0.2117}
{'reviewerId': 'E3oc9dVvWZBRCqi7ta1H4w', 'rank': 0.2119}
{'reviewerId': 'v8-pCIdvMjUo439FV889og', 'rank': 0.2174}
{'reviewerId': 'GXn4ZsasLKh0qZ5g3nIqcQ', 'rank': 0.2178}
{'reviewerId': '68qStoM0VDVyQAkILMNepg', 'rank': 0.2212}
{'reviewerId': 'p81PsfykFcVczr1B0T0zfQ', 'rank': 0.2224}
{'reviewerId': 'RqUJo6tjD8m4JEuZ37VN5g', 'rank': 0.2241}
{'reviewerId': 'oEHpQXv1s_upFtRN0SYJRA', 'rank': 0.2321}
{'reviewerId': 'FJbrnaXwVmgGJTk1xd2jwA', 'rank': 0.2336}
{'reviewerId': 'zT0PuDsIV-S7M-W_NaX9vw', 'rank': 0.2345}
{'reviewerId': 'uJK7-K3781R7Bn7QVdVcsg', 'rank': 0.2756}
{'reviewerId': 'VPINiUt71jfnBkGcf-XX_A', 'rank': 0.2767}
{'reviewerId': 'whfjd0gIdtPXLTZKmNYqZQ', 'rank': 0.2799}
{'reviewerId': '1XlzcRWcpismkK9rIjh14g', 'rank': 0.2888}
{'reviewerId': '4Xi2i_i1RzKkoJ41_1JHig', 'rank': 0.304}
{'reviewerId': '0r-GI6qXs51qNsvQIxV_Ow', 'rank': 0.305}
{'reviewerId': 'E2UCZsdVoYb3V1ef2ceGzg', 'rank': 0.308}
{'reviewerId': 'nZcvhWmyQ73TiFDxyGmuAQ', 'rank': 0.3082}
{'reviewerId': 'kvf85ot7fhf3hqSDVJy2gA', 'rank': 0.3095}
{'reviewerId': '6RJBeJlbDGrZO91Qc2NG9A', 'rank': 0.3103}
{'reviewerId': 'XCsZ3hWa_6oP1WkWvK7pmg', 'rank': 0.3117}
{'reviewerId': 'Mlhjg_PTkyZ7FReat_COiw', 'rank': 0.3162}
{'reviewerId': 'IgkDYXTO6XP7VGi6xIOJbw', 'rank': 0.3208}
{'reviewerId': 'PE9O_0g044eb2KCHow02dg', 'rank': 0.3215}
{'reviewerId': 'InWfchzutCtJRbUBpYKtSQ', 'rank': 0.325}
{'reviewerId': 'B4cJvWuf59j7XlTdexnVZw', 'rank': 0.3262}
{'reviewerId': 'u7Uv97_feX1iiATbf_BCyQ', 'rank': 0.3269}
{'reviewerId': 'gjZp61JZaqcLrKjEDVSPIQ', 'rank': 0.3289}
{'reviewerId': '5L0eiAkoQIVvI_XOjzhFpA', 'rank': 0.3321}
{'reviewerId': 'jzH04vzXw5xs4sxAUWFohg', 'rank': 0.3484}
{'reviewerId': 't-_mu5j9E6LYd1BlpvAfAQ', 'rank': 0.3542}
{'reviewerId': 'F4cbJPyoF1nd3S7Rqz72vw', 'rank': 0.356}
{'reviewerId': 'g2YnG8VUb9opaWF6fx6viQ', 'rank': 0.3589}
{'reviewerId': 'z3xjvoyYxciPTAG--eNUuQ', 'rank': 0.3593}
{'reviewerId': 'c6HT44PKCaXqzN_BdgKPCw', 'rank': 0.3637}
{'reviewerId': '3MYdpmHeNwC6FquRWi3YOg', 'rank': 0.3648}
{'reviewerId': 'r7kbJcKqJ3dJ3TYevNVIRA', 'rank': 0.3665}
{'reviewerId': 'xL4EOIKW6ZRM06T1lMjb_w', 'rank': 0.3666}
{'reviewerId': 'ljw-HpE8ofaWh9HCmQJ1hg', 'rank': 0.3779}
{'reviewerId': 'khPkVSgyTqPxi-tscd6cDw', 'rank': 0.3787}
{'reviewerId': 'BI4lPhrUpmEySIJUywjIjQ', 'rank': 0.3875}
{'reviewerId': 'VnlUnPrfae-fbqDoXuvDbw', 'rank': 0.4134}
{'reviewerId': 'tU3sDq7hTMZs6VSnyolI1A', 'rank': 0.4142}
{'reviewerId': '94b0y-FFFIF8hy3SJgXd-g', 'rank': 0.4182}
{'reviewerId': '2RKfUSVZBeTJ-_X9bmGmKQ', 'rank': 0.4861}
{'reviewerId': 'ctwwsl5_DSCzwPxtjzdl2A', 'rank': 0.504}
{'reviewerId': 'nkN_do3fJ9xekchVC-v68A', 'rank': 0.5107}
{'reviewerId': 'h9fDxlf10xNwmi9zKPnYFg', 'rank': 0.5183}
{'reviewerId': 'XHuNSjrPA3Vyi7n4iVhZaQ', 'rank': 0.5243}
{'reviewerId': 'RjaLd1MuAYlwZkRG3lxczQ', 'rank': 0.5257}
{'reviewerId': '7clk7hJlh9U5Kkwq7IGLEw', 'rank': 0.5562}
{'reviewerId': 'G5LXEaxhQMF_BVjNHkVr7g', 'rank': 0.5601}
{'reviewerId': 'gZ-CewXerXlytUGV-4nFRA', 'rank': 0.6263}
{'reviewerId': 'Odj7rHyVCq2n-YT3Q9Sppw', 'rank': 0.7304}
{'reviewerId': 'OGV40r9v4MZ7r2gwkutNbw', 'rank': 0.7431}
{'reviewerId': 'nzsv-p1O8gCfP3XijfQrIw', 'rank': 0.8061}
{'reviewerId': 'Bf87HcPERF9yiSjb2tQBqw', 'rank': 0.8128}
{'reviewerId': 'OlhH_-yyVWU6jj8H2TMSiQ', 'rank': 0.8229}
{'reviewerId': 'Mu6wz7_d6OBgRqkl4_NaXw', 'rank': 0.8364}
{'reviewerId': 'Xj0O2l0bp633ebmG468aZw', 'rank': 0.9349}
{'reviewerId': '_BHTC7nyCBoZcfiiD5cOXg', 'rank': 0.946}
