{'reviewerID': 'UqNSytSc3hiYfKVCGwvLCg', 'rate_deviation': 0.0817, 'first_time': 0.0001, 'burstiness': 0.15, 'content_similarity': 0.2553}
{'reviewerID': '6IJvrFm0X3OTy6HoDWaLpg', 'rate_deviation': 0.0183, 'first_time': 0.0001, 'burstiness': 0.1, 'content_similarity': 0.0001}
{'reviewerID': 'iTs-p1P-mmBrrmc_Rpfg4w', 'rate_deviation': 0.0751, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'I11zT6U1lAI2qd8b5O2pvw', 'rate_deviation': 0.18, 'first_time': 0.0001, 'burstiness': 0.1, 'content_similarity': 0.0249}
{'reviewerID': 'jiPzk6m4yf451hkhUYQI_A', 'rate_deviation': 0.2376, 'first_time': 0.0001, 'burstiness': 0.1, 'content_similarity': 0.1561}
{'reviewerID': 'y5kLtH852BrYLJ-GjRXJUQ', 'rate_deviation': 0.2126, 'first_time': 0.0001, 'burstiness': 0.1, 'content_similarity': 0.1259}
{'reviewerID': '6xuAQvHx04Hn2ZADlcA6QA', 'rate_deviation': 0.0365, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'TOsbbmqOw50Mx7XN330pyA', 'rate_deviation': 0.2001, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'VAk1j8_7s7c2azur5JwhBQ', 'rate_deviation': 0.143, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'BsoAGGcx2iFev7adLv8g6A', 'rate_deviation': 0.1407, 'first_time': 0.0001, 'burstiness': 0.35, 'content_similarity': 0.2005}
{'reviewerID': '6OV_PFTl9RW2FmYQoOsuRQ', 'rate_deviation': 0.2001, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'W7wMz04Wc5xvzmh1Pf2GHA', 'rate_deviation': 0.0189, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'e3q7d72QpYDGEisoI-wFxQ', 'rate_deviation': 0.3001, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'Q6OXZm6n0RcpDtvqXVu3jg', 'rate_deviation': 0.2501, 'first_time': 0.0001, 'burstiness': 0.1, 'content_similarity': 0.0892}
{'reviewerID': '9ddGfomfJON2_N7wa1KbJA', 'rate_deviation': 0.1001, 'first_time': 0.0001, 'burstiness': 0.1, 'content_similarity': 0.0001}
{'reviewerID': 'fPROLvVR20DTvqpy7IdTIQ', 'rate_deviation': 0.1165, 'first_time': 0.0001, 'burstiness': 0.2, 'content_similarity': 0.3294}
{'reviewerID': 'Uu3HbS4pg129T9EGGOQ4HQ', 'rate_deviation': 0.4001, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': '1vXJWH7L0IMEz5-8aU3SOA', 'rate_deviation': 0.0567, 'first_time': 0.0001, 'burstiness': 0.1, 'content_similarity': 0.1459}
{'reviewerID': 'tuyHbiK0_3Cba2pZhVxLrA', 'rate_deviation': 0.0935, 'first_time': 0.0001, 'burstiness': 0.1, 'content_similarity': 0.2375}
{'reviewerID': 'InWfchzutCtJRbUBpYKtSQ', 'rate_deviation': 0.106, 'first_time': 0.0001, 'burstiness': 0.1, 'content_similarity': 0.2389}
{'reviewerID': 'i-0oGJYYFITltE1IzB_h0Q', 'rate_deviation': 0.0501, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'Cs0melsVtGLI1l2he3BwdQ', 'rate_deviation': 0.0643, 'first_time': 0.0001, 'burstiness': 0.25, 'content_similarity': 0.1009}
{'reviewerID': 'rTo1ltY1Ct63KEv-SjR2vg', 'rate_deviation': 0.1067, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.1748}
{'reviewerID': 'JSMRcExYqCZshDJIjCBk6Q', 'rate_deviation': 0.2001, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'zcArntByEp1xGmJ60c0OKA', 'rate_deviation': 0.0911, 'first_time': 0.0001, 'burstiness': 0.2, 'content_similarity': 0.228}
{'reviewerID': '_A9z1F2VTjTX5dMz9eAp5A', 'rate_deviation': 0.1001, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': '8POtBG4Asg3HGX4S9tQlIA', 'rate_deviation': 0.1001, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'Oz0DkbtYMUjsqHE4nk6rYg', 'rate_deviation': 0.3001, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0755}
{'reviewerID': 'oAHL562OGJSlf3zgbcrOWw', 'rate_deviation': 0.0001, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'pFBeUN4O6mgChLfYI9oIPQ', 'rate_deviation': 0.0868, 'first_time': 0.0001, 'burstiness': 0.25, 'content_similarity': 0.2421}
{'reviewerID': 'iGk7RtGln4rIf4tp6uArZA', 'rate_deviation': 0.1376, 'first_time': 0.0001, 'burstiness': 0.1, 'content_similarity': 0.122}
{'reviewerID': 'z6kB2-UdZQiN2G5WG5tadQ', 'rate_deviation': 0.0334, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'JXbz8URET4T6SWVrDmKWTA', 'rate_deviation': 0.2267, 'first_time': 0.0001, 'burstiness': 0.2, 'content_similarity': 0.2136}
{'reviewerID': 'hEjM7r2jR8G-VVd9WED2CA', 'rate_deviation': 0.0975, 'first_time': 0.0001, 'burstiness': 0.3, 'content_similarity': 0.0678}
{'reviewerID': 'x0sHBCR3fumKp0FF4e7eeQ', 'rate_deviation': 0.2084, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.091}
{'reviewerID': 'ar5S7ZR4M3oaBSxQw1BhsA', 'rate_deviation': 0.1126, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.1668}
{'reviewerID': 'xRBkcE6vbycnGePZqDrK1w', 'rate_deviation': 0.2084, 'first_time': 0.0001, 'burstiness': 0.1, 'content_similarity': 0.1647}
{'reviewerID': '2UDube3mS0CAPg0w_ewemw', 'rate_deviation': 0.0189, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': '1-v3bP-anPPCR036gyJ-GA', 'rate_deviation': 0.0446, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.1228}
{'reviewerID': 'OavGX8dN5NiCRPyrqiUiQA', 'rate_deviation': 0.16, 'first_time': 0.0001, 'burstiness': 0.15, 'content_similarity': 0.1565}
{'reviewerID': 'YuVh7t33Wl0OPkGhkAlZfg', 'rate_deviation': 0.0358, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'gOnpthCM9-C1We5LgQfnQw', 'rate_deviation': 0.0834, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'vLNzXb4TzHdVaBLRyf5TZQ', 'rate_deviation': 0.1001, 'first_time': 0.0001, 'burstiness': 0.1, 'content_similarity': 0.2282}
{'reviewerID': 'RYEb07GFzdaSPTMWrXaPmg', 'rate_deviation': 0.3001, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': '8e9yar-mnsfGzOH6ICVJnA', 'rate_deviation': 0.15, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.1284}
{'reviewerID': 'VEs0kwfD8-QZM0jVgmz9yg', 'rate_deviation': 0.1284, 'first_time': 0.0001, 'burstiness': 0.1, 'content_similarity': 0.2313}
{'reviewerID': 'dJ5KfpIclVdmglgxl7_6fw', 'rate_deviation': 0.0844, 'first_time': 0.0001, 'burstiness': 0.1, 'content_similarity': 0.0295}
{'reviewerID': 'TEtzbpgA2BFBrC0y0sCbfw', 'rate_deviation': 0.1902, 'first_time': 0.0001, 'burstiness': 0.55, 'content_similarity': 0.1273}
{'reviewerID': 'g7dW77IKWHe5k46cVirmzQ', 'rate_deviation': 0.0695, 'first_time': 0.0001, 'burstiness': 0.1, 'content_similarity': 0.122}
{'reviewerID': 'k1NQPEB7s3vEpaqXodg8vA', 'rate_deviation': 0.0667, 'first_time': 0.0001, 'burstiness': 0.1, 'content_similarity': 0.1326}
{'reviewerID': 'eOB8qdD4GrTOYizRM5U3IA', 'rate_deviation': 0.3001, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'vetI1F4btXdQAe5G2A2ciA', 'rate_deviation': 0.2667, 'first_time': 0.0001, 'burstiness': 0.15, 'content_similarity': 0.3106}
{'reviewerID': 'WNb0V3nSQYabSt90vSMhmA', 'rate_deviation': 0.0501, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': '5XWlrP-XjNOjSqvNvHmUsg', 'rate_deviation': 0.0251, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': '6d6onfNEqVAe3NmSyOOMiQ', 'rate_deviation': 0.1001, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': '4_fkSSTFYEUXYPhtpbsAJw', 'rate_deviation': 0.1542, 'first_time': 0.0001, 'burstiness': 0.2, 'content_similarity': 0.0593}
{'reviewerID': '6vdYi1Kgx9XqvIMey-5Gxg', 'rate_deviation': 0.1441, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'rObBiN_JQ98QmVSubK6IWA', 'rate_deviation': 0.1714, 'first_time': 0.0001, 'burstiness': 0.2, 'content_similarity': 0.0875}
{'reviewerID': 'DzmrwbVKVPlihbiZwoJbWg', 'rate_deviation': 0.3001, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': '8DSmRfg6P1KzyH41u1LHUQ', 'rate_deviation': 0.0629, 'first_time': 0.0001, 'burstiness': 0.1, 'content_similarity': 0.2761}
{'reviewerID': 'UcwfMhBNz9hG1zBZTySO0w', 'rate_deviation': 0.1401, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'd48Dui7c3Ab50hy6pcT56Q', 'rate_deviation': 0.0334, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'ZI3QzbiGhSJOYSqs5C8MGA', 'rate_deviation': 0.0183, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'KBxUsSPua9RrP6K-9wFsuA', 'rate_deviation': 0.1007, 'first_time': 0.0001, 'burstiness': 0.15, 'content_similarity': 0.1019}
{'reviewerID': 'seAX967Wk8qiVXOYjbregg', 'rate_deviation': 0.1389, 'first_time': 0.0001, 'burstiness': 0.1, 'content_similarity': 0.2752}
{'reviewerID': 'MNBUuPZdwLy5C5JtZQlizQ', 'rate_deviation': 0.0334, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'MQTF8C-3xd5tcTAwPPXZyQ', 'rate_deviation': 0.2501, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'rAW2pYHRpXwFKStSlRbJdQ', 'rate_deviation': 0.1973, 'first_time': 0.0001, 'burstiness': 0.2, 'content_similarity': 0.1927}
{'reviewerID': '5DgFmyjW6hkBtXtTMKl4tA', 'rate_deviation': 0.25, 'first_time': 0.0001, 'burstiness': 0.15, 'content_similarity': 0.1492}
{'reviewerID': 'vXYvn72tcWbrbWKlzgAZXg', 'rate_deviation': 0.2001, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'HTqhOyoYs4o3ZBZVDV0Q0A', 'rate_deviation': 0.1801, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'm4GFpJiZyps1UMQXLu_oFg', 'rate_deviation': 0.0751, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'oazvcz5RmMOCuTeGjtCRSQ', 'rate_deviation': 0.04, 'first_time': 0.0001, 'burstiness': 0.1, 'content_similarity': 0.2643}
{'reviewerID': 'imCZ1kHEwdkO24K2o38scw', 'rate_deviation': 0.1167, 'first_time': 0.0001, 'burstiness': 0.15, 'content_similarity': 0.1225}
{'reviewerID': '08mOpJRCpZe3D8UHszP4FA', 'rate_deviation': 0.1121, 'first_time': 0.0001, 'burstiness': 0.55, 'content_similarity': 0.1921}
{'reviewerID': 'H5AyD3UoMZSYfZmXFSoyCw', 'rate_deviation': 0.0735, 'first_time': 0.0001, 'burstiness': 0.1, 'content_similarity': 0.1944}
{'reviewerID': 'Hh6iHC3bW_MUPuOhsIKFYw', 'rate_deviation': 0.0252, 'first_time': 0.0001, 'burstiness': 0.1, 'content_similarity': 0.1718}
{'reviewerID': 'lOExMRLNEVGKz0f-zb4kCQ', 'rate_deviation': 0.0949, 'first_time': 0.0001, 'burstiness': 0.2, 'content_similarity': 0.2597}
{'reviewerID': 'z573LamGhVlA6msrfDJ3Qw', 'rate_deviation': 0.0146, 'first_time': 0.0001, 'burstiness': 0.1, 'content_similarity': 0.2177}
{'reviewerID': 'ISLn2eHQzr--ANBO2G_ncg', 'rate_deviation': 0.0751, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'ZpXTvV9-buaOVFFkZrl4jg', 'rate_deviation': 0.0668, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'Y44vrJgDGR3PFGzkU-4now', 'rate_deviation': 0.0274, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'MaxlLd0HZmCtdZ3yJ9pyJQ', 'rate_deviation': 0.1001, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': '_A_mZSqbPJb3sQKMqcqCJg', 'rate_deviation': 0.1236, 'first_time': 0.0001, 'burstiness': 0.1, 'content_similarity': 0.2086}
{'reviewerID': 'oOLigxeBs5xJ0rt4-CAFmA', 'rate_deviation': 0.0668, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'uzN8LYMbzTjL1_AP53SynQ', 'rate_deviation': 0.0456, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'UDFCWnHOvkENxbKGlEsLyg', 'rate_deviation': 0.0501, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'MupGjmvQD5sphTo7aCqV6A', 'rate_deviation': 0.3001, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'AIQStrUDl0kA9KxJlU2VNw', 'rate_deviation': 0.0668, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'xeZWq8661yWKwb3mToo8Yg', 'rate_deviation': 0.2652, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0947}
{'reviewerID': 'ExageOv0kfZuLjyDUxwDkg', 'rate_deviation': 0.1501, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'YVUxUIae-d7qBwsdlbRI0Q', 'rate_deviation': 0.2087, 'first_time': 0.0001, 'burstiness': 0.1, 'content_similarity': 0.1531}
{'reviewerID': '32sxRjdlvBsQRiwuGQUeXQ', 'rate_deviation': 0.1173, 'first_time': 0.0001, 'burstiness': 0.35, 'content_similarity': 0.1209}
{'reviewerID': 'chE54JEhQjF3DgvWazdhnA', 'rate_deviation': 0.2501, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': '5cdoxMpGrrwsoTTHYB1TIg', 'rate_deviation': 0.0501, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'ZEcn6fTSXpAbJHXT4wb5tQ', 'rate_deviation': 0.1001, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'pLLE4CxjQQ9mF4l4q3oYMQ', 'rate_deviation': 0.0334, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'Pi57xV3nxFGSbsxt8UH9FA', 'rate_deviation': 0.1334, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'eeemUU0oFchyKC4xL2-1pQ', 'rate_deviation': 0.0057, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'mIysRk_cJ5K_BMZ-r06TFw', 'rate_deviation': 0.4001, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.1306}
{'reviewerID': '0wYeGjKcNYRNLxIfy8qCIg', 'rate_deviation': 0.1001, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'yz8RD1h8OxxWM2rtV64Xbw', 'rate_deviation': 0.1624, 'first_time': 0.0001, 'burstiness': 0.1, 'content_similarity': 0.1514}
{'reviewerID': 'PMWNrwuvrTwb4robAfoUhw', 'rate_deviation': 0.1277, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': '0YxegPZ6RtaFDAfS5wU0CQ', 'rate_deviation': 0.1001, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'rNeMzCLFzsDIs7lehNVxsA', 'rate_deviation': 0.3501, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.2231}
{'reviewerID': 'JGEknLFDR0Qvftqd4daSoQ', 'rate_deviation': 0.0779, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': '-XqT2gb0a54UwQAuSxv9ag', 'rate_deviation': 0.1389, 'first_time': 0.0001, 'burstiness': 0.15, 'content_similarity': 0.1059}
{'reviewerID': 'PPGfonuqCD42iiQ3xkH5sw', 'rate_deviation': 0.1501, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'veLDJ5vL0NaQNWZHI4bq8Q', 'rate_deviation': 0.1501, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'Ey_LbvkpsGAECYM_cP_3Jw', 'rate_deviation': 0.2001, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'mIBI10FKh1TI3yfVB45igw', 'rate_deviation': 0.0334, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'ww8HxfO6u0jFbFCAAndDRA', 'rate_deviation': 0.0795, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.2359}
{'reviewerID': '8Bx7StPmiE9EQQQJSQz-ww', 'rate_deviation': 0.0001, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'xJDb2X2pxTuH343MW-DVGg', 'rate_deviation': 0.1501, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'tc-BJ8rXZnqLqehveDkNXw', 'rate_deviation': 0.103, 'first_time': 0.0001, 'burstiness': 0.1, 'content_similarity': 0.0991}
{'reviewerID': 'shSmIgXxzyO9t4A9J3ClLQ', 'rate_deviation': 0.2351, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0139}
{'reviewerID': 'k4h5VRMWiKzWYPDW1gLj6A', 'rate_deviation': 0.0942, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'jx7UAf9PWxf0DRWUoemTVQ', 'rate_deviation': 0.0889, 'first_time': 0.0001, 'burstiness': 0.15, 'content_similarity': 0.2259}
{'reviewerID': 'tclOqZ44VPNJcrl7bGatRQ', 'rate_deviation': 0.1001, 'first_time': 0.0001, 'burstiness': 0.1, 'content_similarity': 0.1027}
{'reviewerID': 'qwaBAPRQ9Iujnv1c-plm9Q', 'rate_deviation': 0.2001, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'ca-cNiTee3s_oxTewG1CDg', 'rate_deviation': 0.0001, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'B0QGBVCUm54vs_waVzcScA', 'rate_deviation': 0.1587, 'first_time': 0.0001, 'burstiness': 0.25, 'content_similarity': 0.2077}
{'reviewerID': '7pmlFlxzve-GSJXF3UL0Tg', 'rate_deviation': 0.1001, 'first_time': 0.0001, 'burstiness': 0.1, 'content_similarity': 0.0412}
{'reviewerID': 'MbGeVeZWu653SR_Gu1FgAw', 'rate_deviation': 0.0954, 'first_time': 0.0001, 'burstiness': 0.15, 'content_similarity': 0.2553}
{'reviewerID': 's21kUjWJhdNzQ3mB4-gGCA', 'rate_deviation': 0.1001, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'eCcjxh8zjAqn-kZVWZ_HJQ', 'rate_deviation': 0.095, 'first_time': 0.0001, 'burstiness': 0.55, 'content_similarity': 0.2088}
{'reviewerID': 'jkxC46D5237iC_91JiuKCQ', 'rate_deviation': 0.0001, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': '71H7sf1m7OwvrCVj13LJAg', 'rate_deviation': 0.1501, 'first_time': 0.0001, 'burstiness': 0.1, 'content_similarity': 0.0001}
{'reviewerID': 'igYLWWPeNkRIfrWj62pCMg', 'rate_deviation': 0.0801, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'yVh0YeisOX26HLPI1ti8Cg', 'rate_deviation': 0.1524, 'first_time': 0.0001, 'burstiness': 0.1, 'content_similarity': 0.2275}
{'reviewerID': 'OAIEusQLaKginR7UGDxTnQ', 'rate_deviation': 0.3001, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': '5MHez38zPIrKAHeExA_0rg', 'rate_deviation': 0.1201, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'PYU074gsxXC4DkabvHsKkQ', 'rate_deviation': 0.0556, 'first_time': 0.0001, 'burstiness': 0.15, 'content_similarity': 0.2282}
{'reviewerID': 'AxTvteW-PQzdEl65_kzUjA', 'rate_deviation': 0.1334, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'NYcbSHhwwbMTaEz-hP0KXw', 'rate_deviation': 0.0976, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.1233}
{'reviewerID': '5S316dr5ytESpc0qQhaIIw', 'rate_deviation': 0.1501, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'PfwqafGkOL9l27c49WGi_A', 'rate_deviation': 0.0001, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'Ql1eg922BG8-JVp_zDFwcg', 'rate_deviation': 0.121, 'first_time': 0.0001, 'burstiness': 0.35, 'content_similarity': 0.1221}
{'reviewerID': 'cvUkqIiy81uCn7hj9WGVEw', 'rate_deviation': 0.1876, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.1579}
{'reviewerID': 'nyFI_BupH1HwJBv4Je8dYQ', 'rate_deviation': 0.2001, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'NczwF7RlDUSuyz3WJs5VRQ', 'rate_deviation': 0.0668, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'fCfbSWIePPxhgZo11_g5jQ', 'rate_deviation': 0.0201, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': '3V1lLMUQjg4bjY2_z1H9Pg', 'rate_deviation': 0.2001, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
