{'reviewerId': 'rY8zJoH5xf8s5jO3HFoGZw', 'rank': 0.0001}
{'reviewerId': 'QxbPjP7giooQd9gCrdzJuQ', 'rank': 0.0104}
{'reviewerId': 'WJDPbSUSiSohQ6R6Ku4wFA', 'rank': 0.0104}
{'reviewerId': 'C5Pf0I0YZEEw2cG8yTcH4Q', 'rank': 0.0104}
{'reviewerId': '_RzvqL0qKwnhth-9lxJMOg', 'rank': 0.0104}
{'reviewerId': '5bcULvg_jQxT8pnA3iFUMg', 'rank': 0.0104}
{'reviewerId': 'xXkn3IsgQ8VOyOTFMy-4ng', 'rank': 0.0105}
{'reviewerId': 'NLF7wQwSQxIo4E34TMaRoQ', 'rank': 0.0105}
{'reviewerId': 'BI4lPhrUpmEySIJUywjIjQ', 'rank': 0.0106}
{'reviewerId': 'IDVX4Is4CanREchBmpFXoA', 'rank': 0.0106}
{'reviewerId': '8-lLoii2bEEB_IDJlryyDw', 'rank': 0.0108}
{'reviewerId': 'A2jcvFTh6MpEHY6ogjZ7iQ', 'rank': 0.0108}
{'reviewerId': 'yOWq5LeQ0NvfQNZLxqGK1g', 'rank': 0.0108}
{'reviewerId': 'M4CiAGc2PePKMoAaMDfevw', 'rank': 0.0109}
{'reviewerId': 'oC1C9J8L41BQLs-pngA0cQ', 'rank': 0.0111}
{'reviewerId': 'Zn7lIByuJmQQMVTK7rNAyQ', 'rank': 0.0112}
{'reviewerId': 'g2YnG8VUb9opaWF6fx6viQ', 'rank': 0.0112}
{'reviewerId': 'RjaLd1MuAYlwZkRG3lxczQ', 'rank': 0.0112}
{'reviewerId': 'VnlUnPrfae-fbqDoXuvDbw', 'rank': 0.0112}
{'reviewerId': 'E2UCZsdVoYb3V1ef2ceGzg', 'rank': 0.0113}
{'reviewerId': 'H4JNrBAoyCk_ZMZWbAf8OA', 'rank': 0.0113}
{'reviewerId': 'T0gWkTHWRChVUe_Dn1F8nw', 'rank': 0.0114}
{'reviewerId': 'RjGxRoVSrRLJ-9AqvL2Wdw', 'rank': 0.0115}
{'reviewerId': 'qYxGJKlYrqNgodzMWHaaGw', 'rank': 0.0115}
{'reviewerId': 'yOrL5Ijmrp09Yej4dPyPDQ', 'rank': 0.0115}
{'reviewerId': 'X4KP6ZK0ST-jF46KpAhxzg', 'rank': 0.0115}
{'reviewerId': 'AQw9j0YtlxU-gMhzF0Sm-A', 'rank': 0.0115}
{'reviewerId': '78lm9SSxJ6t2t_Vevyt2JQ', 'rank': 0.0115}
{'reviewerId': 'Yv5z62QJ1Gwc3WWealjXxw', 'rank': 0.0115}
{'reviewerId': 'fMogiUCHUzyAzRq_OJSEwA', 'rank': 0.0115}
{'reviewerId': '65uUyG9yuF0rdMh0z7ajaA', 'rank': 0.0115}
{'reviewerId': 'ojvZZ_ZWRlfJDJN_kV1ESQ', 'rank': 0.0115}
{'reviewerId': 'e_9H7wtOQ1Vzfy-H07ZnYg', 'rank': 0.0115}
{'reviewerId': 'Fq9hU0FRoCBh-DeBHaTjUQ', 'rank': 0.0115}
{'reviewerId': 'nWYBIchJ82bepKROYthIbg', 'rank': 0.0115}
{'reviewerId': 'XFGOSi7L0vC8ojvEdly1mw', 'rank': 0.0115}
{'reviewerId': 'qW8W1dtw45mlNfQjn021dg', 'rank': 0.0115}
{'reviewerId': 'LmkJZ5OF__lSHfGsrhP4DQ', 'rank': 0.0115}
{'reviewerId': 'WTAHLNh-KbyuvqggVLtUWQ', 'rank': 0.0115}
{'reviewerId': 'ZtiFffWruo7KNqOzl8PuVQ', 'rank': 0.0115}
{'reviewerId': '1lBfVyiZoGVCjpG19T1_ow', 'rank': 0.0115}
{'reviewerId': '90-TQ3FodH-RPPKCHNVcdw', 'rank': 0.0115}
{'reviewerId': '8h1r7mXd-H225yDgc4EMPg', 'rank': 0.0115}
{'reviewerId': 'YnhzujdL0_Xear02uxakMw', 'rank': 0.0115}
{'reviewerId': 'KiHezw05wPk7Q6q3j_JNUA', 'rank': 0.0115}
{'reviewerId': '8QAHOwtLZnZJFEA8nad7uw', 'rank': 0.0115}
{'reviewerId': 'hrEVN1TPmpiNTU0LYnAq0A', 'rank': 0.0115}
{'reviewerId': 'UfkOylAubALQ283E7rlnnA', 'rank': 0.0115}
{'reviewerId': 'MgWicu97pwR6kEeHniQ4Tg', 'rank': 0.0115}
{'reviewerId': 'G9Vb6yQ047TC3O_-GG4WZA', 'rank': 0.0115}
{'reviewerId': 'w3wqTbxdd_XCNcdSK1AdRw', 'rank': 0.0115}
{'reviewerId': 'tcfsifn9Uu1T94O7sN4gzw', 'rank': 0.0115}
{'reviewerId': 'ywQwLtTUPmUMZ3aRocoMIg', 'rank': 0.0115}
{'reviewerId': 'uSxeEUPMW1nUJr-5jHYt6Q', 'rank': 0.0115}
{'reviewerId': 'qAYJJ5NgNMHmvUcdmLO8rA', 'rank': 0.0115}
{'reviewerId': 'hkdV78jUuFpQG5ZDu8xRFA', 'rank': 0.0115}
{'reviewerId': 'GwfQ-Ra3P4xGsXMNgYtVQw', 'rank': 0.0115}
{'reviewerId': 'AUeQPBLs7KWiAYBZoN3xkg', 'rank': 0.0115}
{'reviewerId': 'vmGha80A4BIBm6g0xWEQXA', 'rank': 0.0115}
{'reviewerId': 'BSad_A8gpQ0_D-wrabpMLQ', 'rank': 0.0115}
{'reviewerId': 'Ecc2ch1Cil1cI-R40eJxww', 'rank': 0.0115}
{'reviewerId': 'nJy1mdn2TqG1bi6T7Ir0-g', 'rank': 0.0115}
{'reviewerId': 'udsJqDx2ecfRFs0UkARKww', 'rank': 0.0115}
{'reviewerId': 'Fqau2I3qar-6AesW2rm7ZQ', 'rank': 0.0115}
{'reviewerId': 'vBVHmar7Y5FANwlcqyfxCw', 'rank': 0.0115}
{'reviewerId': 'vVda7c6O4AFKaOQo7h7exw', 'rank': 0.0116}
{'reviewerId': '7clk7hJlh9U5Kkwq7IGLEw', 'rank': 0.0117}
{'reviewerId': 'OGV40r9v4MZ7r2gwkutNbw', 'rank': 0.0117}
{'reviewerId': '94b0y-FFFIF8hy3SJgXd-g', 'rank': 0.0117}
{'reviewerId': 'n-eYeIpSTiKhoDeubO1mmA', 'rank': 0.0117}
{'reviewerId': '7liab56Gu9WIiqB0xtSXPA', 'rank': 0.0117}
{'reviewerId': 'UkaR7sIhIMScFa5TPRrLVw', 'rank': 0.0118}
{'reviewerId': 'VNvpB_riaPiSxUQYZrut6g', 'rank': 0.0118}
{'reviewerId': '2zvUWE9erOVhGn8lLzdzuQ', 'rank': 0.0118}
{'reviewerId': 'xt8tqNaVPzgBhhftXBr-5A', 'rank': 0.0118}
{'reviewerId': 'ipleTHGh9KR8hO5U1yxzXw', 'rank': 0.0118}
{'reviewerId': '7e4CioqxGMByqh0lJP5FZg', 'rank': 0.0119}
{'reviewerId': 'PE9O_0g044eb2KCHow02dg', 'rank': 0.0119}
{'reviewerId': 'GpXHZzZXfAL6u6beIC0cIA', 'rank': 0.0119}
{'reviewerId': '9DRh0hJVt3O-p960Add9PQ', 'rank': 0.0119}
{'reviewerId': 'nzsv-p1O8gCfP3XijfQrIw', 'rank': 0.012}
{'reviewerId': 'm9vkagc4KEn5X47J9WGOBw', 'rank': 0.012}
{'reviewerId': 'icK0fkhTkPWvRmOhFUINfA', 'rank': 0.0121}
{'reviewerId': 'khPkVSgyTqPxi-tscd6cDw', 'rank': 0.0121}
{'reviewerId': 'OlhH_-yyVWU6jj8H2TMSiQ', 'rank': 0.0121}
{'reviewerId': '5Us7BcHkyX7vKFbvv1a5FA', 'rank': 0.0122}
{'reviewerId': 'ctwwsl5_DSCzwPxtjzdl2A', 'rank': 0.0122}
{'reviewerId': 'Xj0O2l0bp633ebmG468aZw', 'rank': 0.0123}
{'reviewerId': 'nkN_do3fJ9xekchVC-v68A', 'rank': 0.0123}
{'reviewerId': 'tU3sDq7hTMZs6VSnyolI1A', 'rank': 0.0123}
{'reviewerId': 'ElVVa0LmnbBCXhNh-l34-Q', 'rank': 0.0124}
{'reviewerId': 'nRgnPH741Xti-7lD7dL2lA', 'rank': 0.0124}
{'reviewerId': '5Tc0YXgYDvTTlps0e8xTNg', 'rank': 0.0125}
{'reviewerId': 'Da_ZO8lKwIacljqKUJbAlw', 'rank': 0.0125}
{'reviewerId': 'YEPeMM-5oUrSbsZRwFZWbg', 'rank': 0.0125}
{'reviewerId': 'whfjd0gIdtPXLTZKmNYqZQ', 'rank': 0.0125}
{'reviewerId': 'xL4EOIKW6ZRM06T1lMjb_w', 'rank': 0.0125}
{'reviewerId': '1QtLFD_LlNQxynZSpATv4Q', 'rank': 0.0126}
{'reviewerId': 'SIcz9tmyUGlZtiaa39fBsQ', 'rank': 0.0126}
{'reviewerId': 'GXn4ZsasLKh0qZ5g3nIqcQ', 'rank': 0.0126}
{'reviewerId': 'vDzJZHf1uF63LoG0DFZn2w', 'rank': 0.0126}
{'reviewerId': 'OXIJVK12GNTdHlmKJR7xbg', 'rank': 0.0126}
{'reviewerId': 'NN5jldDW0Puf8E3ZZjKqsg', 'rank': 0.0126}
{'reviewerId': 'DjNb1nsTKIsIf75n994DAw', 'rank': 0.0127}
{'reviewerId': 'v77ANclIVQE4z5RYo2wSKw', 'rank': 0.0127}
{'reviewerId': 'eOCzLiZqtZLjcQDocPm7Lw', 'rank': 0.0128}
{'reviewerId': 'k4h5VRMWiKzWYPDW1gLj6A', 'rank': 0.0128}
{'reviewerId': '7PPinRc7cRMHhFuntF29tg', 'rank': 0.0128}
{'reviewerId': 'V2NgfYGt3mYFVVyYMoWbFA', 'rank': 0.0128}
{'reviewerId': 'bdWi8YwI0Q6SfiQu2R5v6A', 'rank': 0.0128}
{'reviewerId': 'pNyZp46Z_6UoJq4jkIAdng', 'rank': 0.0128}
{'reviewerId': 't-_mu5j9E6LYd1BlpvAfAQ', 'rank': 0.0128}
{'reviewerId': 'X-6RYffT3CfAuREHJVODHA', 'rank': 0.0128}
{'reviewerId': '5DLd32wA2AquFh1aFNOlWw', 'rank': 0.0128}
{'reviewerId': 'Ql1eg922BG8-JVp_zDFwcg', 'rank': 0.0129}
{'reviewerId': 'QOlY5FYliVVvkgqgtjdP_w', 'rank': 0.0129}
{'reviewerId': 'xGR7Svoj7uTFhIZQgN5pCQ', 'rank': 0.0129}
{'reviewerId': 'UzUnpnlH1n346MDgaFMOmw', 'rank': 0.0129}
{'reviewerId': 'Op1d1btEf1B8RokwZLBZvQ', 'rank': 0.0129}
{'reviewerId': 'Q03Bhc_EANf9JqEwI5wR9g', 'rank': 0.0129}
{'reviewerId': 'r51qFzP8T5CiM3in8Mb30g', 'rank': 0.0129}
{'reviewerId': '2_akhj1xajjbNQcZKnRmgQ', 'rank': 0.0129}
{'reviewerId': 'u_Eb0Q5ZN_bx868pHMy6Tg', 'rank': 0.0129}
{'reviewerId': 'SD7UxEVws9gylHi2LDmzYQ', 'rank': 0.0129}
{'reviewerId': '9fMFfFzAfQc8uPnZTbwFTw', 'rank': 0.0129}
{'reviewerId': '-N4TFDLLlHmg73u8Vgs1lQ', 'rank': 0.0129}
{'reviewerId': 'lK4EZYCni-8xbjW4wsuzLQ', 'rank': 0.0129}
{'reviewerId': 'AhVWzMyXqHibkdr4uHo2kQ', 'rank': 0.0129}
{'reviewerId': 'tJjOunQDfOOz9lnkloqXQA', 'rank': 0.0129}
{'reviewerId': '56vERWd2VPTfjytCQlSc6g', 'rank': 0.0129}
{'reviewerId': 'r7kbJcKqJ3dJ3TYevNVIRA', 'rank': 0.0129}
{'reviewerId': 'AJmUkS2J_HVr-HTUoFTxrw', 'rank': 0.0129}
{'reviewerId': 'G6XcL9wmLQ0jT1m-Vc4CPw', 'rank': 0.0129}
{'reviewerId': 'Usix35UmtJ7yZuumfv5aDg', 'rank': 0.0129}
{'reviewerId': 'gjZp61JZaqcLrKjEDVSPIQ', 'rank': 0.0129}
{'reviewerId': 'a0rG3X-lQjz9FNhIl-xUcw', 'rank': 0.0129}
{'reviewerId': 'XHuNSjrPA3Vyi7n4iVhZaQ', 'rank': 0.0129}
{'reviewerId': '3Ttx_EwurF4tVRn723SIjw', 'rank': 0.0129}
{'reviewerId': '_ueX3a8lqk7WPklhrH6cyg', 'rank': 0.0129}
{'reviewerId': 'InWfchzutCtJRbUBpYKtSQ', 'rank': 0.013}
{'reviewerId': '7d3rYzfoTp-xRu2OUjd76w', 'rank': 0.013}
{'reviewerId': 'RqUJo6tjD8m4JEuZ37VN5g', 'rank': 0.013}
{'reviewerId': 'X0q4bFpolUwr_MOKEURbHg', 'rank': 0.013}
{'reviewerId': 'YeoDS1ZbCxUlte6YA_Awtw', 'rank': 0.013}
{'reviewerId': 'VHdY6oG2JPVNjihWhOooAQ', 'rank': 0.013}
{'reviewerId': 'gZ-CewXerXlytUGV-4nFRA', 'rank': 0.013}
{'reviewerId': 'kIv__6PJpV0ABNfnabJE5w', 'rank': 0.013}
{'reviewerId': 'uJK7-K3781R7Bn7QVdVcsg', 'rank': 0.013}
{'reviewerId': '5F_ASUSCHFf3YotkKioZ5w', 'rank': 0.013}
{'reviewerId': '76UCYU6TYj6hJSzyT6vrcQ', 'rank': 0.013}
{'reviewerId': 'JkdZsw_ASWWPYIsA2W5fsQ', 'rank': 0.0131}
{'reviewerId': 'lnuCpza1Al3q-OnCAeV5mA', 'rank': 0.0131}
{'reviewerId': 'IgkDYXTO6XP7VGi6xIOJbw', 'rank': 0.0131}
{'reviewerId': 'pvIPGu_9dBnDb5LBcSBFNA', 'rank': 0.0131}
{'reviewerId': 'Z3xYQFOLsQjhleXuMgKYMg', 'rank': 0.0131}
{'reviewerId': '6WfLJ5rmFrGOsNS7cKo5Mg', 'rank': 0.0131}
{'reviewerId': 'qzQ8BMZXJe6qe7k6xxzTWQ', 'rank': 0.0132}
{'reviewerId': 'wpr6gw4FnptTrk1CeT8POg', 'rank': 0.0132}
{'reviewerId': 'RVo4ydYRjDbDfGcSSBRCEg', 'rank': 0.0132}
{'reviewerId': 'EkHDowaXGM3esAEyRCUc0Q', 'rank': 0.0132}
{'reviewerId': 'UgZw5ZAPJ7mwt6j3CUOQ9w', 'rank': 0.0132}
{'reviewerId': 'yjmjmBH3T8-jPfvPp6aL2g', 'rank': 0.0132}
{'reviewerId': 'pCGhLbFA8Q2N_LypEOdHcw', 'rank': 0.0132}
{'reviewerId': 'IN6MlR4jtubt2QFdP2oFbg', 'rank': 0.0132}
{'reviewerId': 'R6N6spliGrul2c8IXY7_bw', 'rank': 0.0132}
{'reviewerId': 'nAeM6pzIHIJFoBKq1-Fkmg', 'rank': 0.0132}
{'reviewerId': '_C8dTusVGvODMuygWbZrtg', 'rank': 0.0132}
{'reviewerId': 'o7MQeI-3kM_5QXHFSm7R0Q', 'rank': 0.0132}
{'reviewerId': 'UZllshlr1thOz-mxePmLzQ', 'rank': 0.0132}
{'reviewerId': 'XCsZ3hWa_6oP1WkWvK7pmg', 'rank': 0.0132}
{'reviewerId': 'Bs-YIZ4KwRv5g7UfDkJdug', 'rank': 0.0132}
{'reviewerId': 'EUDuSd11Fhxm6ioLgvxFEQ', 'rank': 0.0132}
{'reviewerId': '1B_-iI2UXi0cPN35zLGPSg', 'rank': 0.0132}
{'reviewerId': 'CrJlQ1NYEIfmMz5RuUhMvA', 'rank': 0.0132}
{'reviewerId': 'ljw-HpE8ofaWh9HCmQJ1hg', 'rank': 0.0133}
{'reviewerId': '45TD1CEI0MoMs-g7P9mljg', 'rank': 0.0133}
{'reviewerId': 'koOGzXxh5nQqEIwI_IJUew', 'rank': 0.0133}
{'reviewerId': 'AMR0ruU2sh4A3JDE4Z2csA', 'rank': 0.0133}
{'reviewerId': 'YNUZAPSoBlK2PwWHBQxVBg', 'rank': 0.0133}
{'reviewerId': 'DrTmpnMmhxDs2wV7i8PyOg', 'rank': 0.0133}
{'reviewerId': 'F4cbJPyoF1nd3S7Rqz72vw', 'rank': 0.0133}
{'reviewerId': 'aLbrRLCPA2jgvDqfZH0NgQ', 'rank': 0.0133}
{'reviewerId': 'ndJAe6HWsRRpvM-8SKegXA', 'rank': 0.0133}
{'reviewerId': 'YLHE1tI0xTQq2WB__mcAyA', 'rank': 0.0133}
{'reviewerId': 'vrsKSSIEY4qo6i4WGDnrEw', 'rank': 0.0133}
{'reviewerId': 'd-Esnujp9CpNWOC7rKPMDg', 'rank': 0.0133}
{'reviewerId': 'c6HT44PKCaXqzN_BdgKPCw', 'rank': 0.0133}
{'reviewerId': '64o6vJrByaGTStMvvU45JQ', 'rank': 0.0133}
{'reviewerId': 'etI0V3JBIgA2UUjIik_OEg', 'rank': 0.0133}
{'reviewerId': 'k_TAh4ZXJY-5OTSu0gbOfA', 'rank': 0.0133}
{'reviewerId': 'ljN6jyPQc132ccQz5hSRQQ', 'rank': 0.0133}
{'reviewerId': 'eyjhVMPb-jzshQVJ5YB-6g', 'rank': 0.0133}
{'reviewerId': 'u8ANMwVEypkRFzzfdgUQ8A', 'rank': 0.0133}
{'reviewerId': 'BAYfLybtn7IwxKHoVLxuJg', 'rank': 0.0133}
{'reviewerId': 'Su5aBOYKcRnprCSc6pW1iw', 'rank': 0.0133}
{'reviewerId': '0zHRDqwuMQzP722Gyhlc6g', 'rank': 0.0133}
{'reviewerId': 'NuBlWBsVheUgm8l4fVKOAw', 'rank': 0.0133}
{'reviewerId': 'DQj7DnJiDV9TAxS0ott-3g', 'rank': 0.0133}
{'reviewerId': 'OQM4_n_VqnDfB3KwXnNvhA', 'rank': 0.0133}
{'reviewerId': 'E3oc9dVvWZBRCqi7ta1H4w', 'rank': 0.0134}
{'reviewerId': 'v8-pCIdvMjUo439FV889og', 'rank': 0.0134}
{'reviewerId': 'gIXUI89IVSpS4BWIYbPQLQ', 'rank': 0.0134}
{'reviewerId': 'o-TSc9yxEARU29EC68hVRg', 'rank': 0.0134}
{'reviewerId': 'XQXr2_4Q38Z3U6K04DOcOA', 'rank': 0.0134}
{'reviewerId': 'ZzUwt2WqDwVZcjAy2MK2og', 'rank': 0.0134}
{'reviewerId': 'z3xjvoyYxciPTAG--eNUuQ', 'rank': 0.0134}
{'reviewerId': 'UxwLsbqBrb-4PV13ybupwA', 'rank': 0.0134}
{'reviewerId': 'yXnuorbaYG5N5SbERJ4m-Q', 'rank': 0.0134}
{'reviewerId': 'q_QQ5kBBwlCcbL1s4NVK3g', 'rank': 0.0134}
{'reviewerId': 'KXMwFYk_essSARlwnEhw0w', 'rank': 0.0134}
{'reviewerId': 'oEHpQXv1s_upFtRN0SYJRA', 'rank': 0.0134}
{'reviewerId': 'jJCuJu8ECBezgacmokM2lA', 'rank': 0.0134}
{'reviewerId': 'rTo1ltY1Ct63KEv-SjR2vg', 'rank': 0.0134}
{'reviewerId': '9rnVCQuY9zzqAn1x5DQW_A', 'rank': 0.0134}
{'reviewerId': '2RKfUSVZBeTJ-_X9bmGmKQ', 'rank': 0.0134}
{'reviewerId': 'Mlhjg_PTkyZ7FReat_COiw', 'rank': 0.0134}
{'reviewerId': 'lQb1ix5CJHOGhcDdQfQQ8w', 'rank': 0.0134}
{'reviewerId': 'ilPH0HCXr4yzcXz6SNPVsA', 'rank': 0.0134}
{'reviewerId': '6RJBeJlbDGrZO91Qc2NG9A', 'rank': 0.0134}
{'reviewerId': 'S0Pji5ZPQwlolC7vlq1lug', 'rank': 0.0134}
{'reviewerId': 'h9fDxlf10xNwmi9zKPnYFg', 'rank': 0.0134}
{'reviewerId': '0r-GI6qXs51qNsvQIxV_Ow', 'rank': 0.0134}
{'reviewerId': 'Q5xEsdg0B5kTGu5wm6d2AA', 'rank': 0.0134}
{'reviewerId': 'RzPd81IBxDPwaWBeNhRk8w', 'rank': 0.0134}
{'reviewerId': 'RWIuUNWFYYWS2tbQ6VzKJg', 'rank': 0.0134}
{'reviewerId': 'ePB3pBx7eE6ozJ3QHRTxtw', 'rank': 0.0134}
{'reviewerId': '5YuDY34-hPFO3phFe_Ml2A', 'rank': 0.0134}
{'reviewerId': 'VNyrgPFUK2z-iBMhBuykTg', 'rank': 0.0134}
{'reviewerId': 'u7Uv97_feX1iiATbf_BCyQ', 'rank': 0.0134}
{'reviewerId': 'kORGcgi0Iw2RG8gJl84MVA', 'rank': 0.0134}
{'reviewerId': 'FJbrnaXwVmgGJTk1xd2jwA', 'rank': 0.0134}
{'reviewerId': 'CS6JY1Ts0AiWFU61QaC1nA', 'rank': 0.0134}
{'reviewerId': 'LRJgblf3U3v1MwhR7GrnfA', 'rank': 0.0134}
{'reviewerId': 'g5J73HwrmtxrUeRV2zfNXg', 'rank': 0.0134}
{'reviewerId': 'rDTr5r0xEMpQpkPphe66KQ', 'rank': 0.0134}
{'reviewerId': 'B8oano0xLoqG7P5XJhxjDg', 'rank': 0.0134}
{'reviewerId': 'B4cJvWuf59j7XlTdexnVZw', 'rank': 0.0134}
{'reviewerId': 'E_uXANui3lHswudq-dlizg', 'rank': 0.0134}
{'reviewerId': '3W-lOOaIVQZONZP83kab6g', 'rank': 0.0134}
{'reviewerId': 'eeemUU0oFchyKC4xL2-1pQ', 'rank': 0.0135}
{'reviewerId': 'kgHcYU5dZRgwZQFoVrzNnA', 'rank': 0.0135}
{'reviewerId': '76h0Dl1yJ7Q-VSqnUor3ew', 'rank': 0.0135}
{'reviewerId': 'pta3o1-YBG8LYpyR3EDq_w', 'rank': 0.0135}
{'reviewerId': 'dwKn2xeY8o1b2JEuFsW-CQ', 'rank': 0.0135}
{'reviewerId': '7VjGynQ1oCHZlytlm23Tgg', 'rank': 0.0135}
{'reviewerId': 'hmey5FOnFMekgULK8eyzkA', 'rank': 0.0135}
{'reviewerId': 'E1jR_BAfdiBVw5bgbwwR6A', 'rank': 0.0135}
{'reviewerId': 'vWpe19iYR30nE8JvBtjwKg', 'rank': 0.0135}
{'reviewerId': 'jXHkSujDkxe5wC3u1_Dc0g', 'rank': 0.0135}
{'reviewerId': 'eKF5kZlW45OFtPmtv7VJmA', 'rank': 0.0135}
{'reviewerId': 'Odj7rHyVCq2n-YT3Q9Sppw', 'rank': 0.0135}
{'reviewerId': 'iaUN-HRLCqYW9ZE4LT9CTQ', 'rank': 0.0135}
{'reviewerId': 'zzrtcZWM_06kjKHvW10qUg', 'rank': 0.0135}
{'reviewerId': 'LiypBEkQm_uLKsWRjgTV5Q', 'rank': 0.0135}
{'reviewerId': 'EwuRpRPAuigEqAf3FtOcJw', 'rank': 0.0135}
{'reviewerId': 'nZcvhWmyQ73TiFDxyGmuAQ', 'rank': 0.0135}
{'reviewerId': '1XlzcRWcpismkK9rIjh14g', 'rank': 0.0135}
{'reviewerId': 'o9kjdIC-T9IKYWNFW9P0bw', 'rank': 0.0135}
{'reviewerId': 'zT0PuDsIV-S7M-W_NaX9vw', 'rank': 0.0135}
{'reviewerId': 'MiBCYPrZFgL-IqESfraZcw', 'rank': 0.0135}
{'reviewerId': 'g2oseja9mnTSA8Qq7GXqBg', 'rank': 0.0135}
{'reviewerId': 's4ONHiGmp0JItIa9d7iyVw', 'rank': 0.0135}
{'reviewerId': 'yTOz-CYc0KRiLL5JKNN-cQ', 'rank': 0.0135}
{'reviewerId': '68qStoM0VDVyQAkILMNepg', 'rank': 0.0135}
{'reviewerId': 'JZ9APfPkwUmrVoxofhEeEg', 'rank': 0.0135}
{'reviewerId': 'ptLc4l0wjx_q5OrOjSAhog', 'rank': 0.0135}
{'reviewerId': 'ZNHqAaYaNBSp8s8CGfnK2Q', 'rank': 0.0135}
{'reviewerId': 'kvf85ot7fhf3hqSDVJy2gA', 'rank': 0.0135}
{'reviewerId': '7RcRYbyK5Tgh7MmAGh1KLA', 'rank': 0.0135}
{'reviewerId': 'IKs2yMEHj0DOHRPg91UZHQ', 'rank': 0.0135}
{'reviewerId': '3ojxCWOn4hHvmOCk_WsI8w', 'rank': 0.0135}
{'reviewerId': 'R_f4V-wQMWx1t6hgcVhvbA', 'rank': 0.0135}
{'reviewerId': 'DOFamdMaC_hjn9zg3Gs-0w', 'rank': 0.0135}
{'reviewerId': 'rd5Rjmo0xfELP69yWJ8asg', 'rank': 0.0135}
{'reviewerId': 'jQGxGQpTiusjZhjXz9DMGw', 'rank': 0.0135}
