{'reviewerId': '4EPNZgN1YLB3VInF92UdBg', 'rank': 0.0001}
{'reviewerId': 'xL4EOIKW6ZRM06T1lMjb_w', 'rank': 0.0191}
{'reviewerId': 'E3oc9dVvWZBRCqi7ta1H4w', 'rank': 0.0191}
{'reviewerId': '3gEjIcYYcnTYNyexMTcArA', 'rank': 0.0191}
{'reviewerId': 'AWguR51NrRqoXMJht6JIgg', 'rank': 0.0191}
{'reviewerId': '-ydCYfBsk4BpRhnlDeD2fQ', 'rank': 0.0191}
{'reviewerId': '1WrXaPKsV9k7M0qXMn1gXw', 'rank': 0.0191}
{'reviewerId': 'T4gJBo6jA9BbbwDZT8M-Fw', 'rank': 0.0191}
{'reviewerId': 'nqb5kKa4nHQtVq6zQZtnxg', 'rank': 0.0191}
{'reviewerId': 'clqDf_w6rC5D-Rj0Mclrng', 'rank': 0.0191}
{'reviewerId': 'nJhLkp1spqBPBBX9uaImVA', 'rank': 0.0191}
{'reviewerId': 'ndJAe6HWsRRpvM-8SKegXA', 'rank': 0.0191}
{'reviewerId': 'yjmjmBH3T8-jPfvPp6aL2g', 'rank': 0.0191}
{'reviewerId': 'S2CC2Fg4RU4F1Ov9BFhdNA', 'rank': 0.0191}
{'reviewerId': '_BHTC7nyCBoZcfiiD5cOXg', 'rank': 0.0191}
{'reviewerId': '1qI1W1gzzsdQQ-blk-0StQ', 'rank': 0.0191}
{'reviewerId': '7gck0xCgh1VbY6n5yLd_YA', 'rank': 0.0191}
{'reviewerId': 'IgkDYXTO6XP7VGi6xIOJbw', 'rank': 0.0191}
{'reviewerId': '3tntYhF3MGCxb6Ikih5VRw', 'rank': 0.0191}
{'reviewerId': 'A6jJ20wf9AauCAi_qVvuWw', 'rank': 0.0191}
{'reviewerId': 'KKw660w4OUhkbzYSDN5z3Q', 'rank': 0.0191}
{'reviewerId': 'E4SfIfuU0H3RtDKwDvc_Uw', 'rank': 0.0191}
{'reviewerId': '7PPinRc7cRMHhFuntF29tg', 'rank': 0.0192}
{'reviewerId': '2_akhj1xajjbNQcZKnRmgQ', 'rank': 0.0194}
{'reviewerId': 'lK4EZYCni-8xbjW4wsuzLQ', 'rank': 0.0194}
{'reviewerId': 'AhVWzMyXqHibkdr4uHo2kQ', 'rank': 0.0194}
{'reviewerId': 'PE9O_0g044eb2KCHow02dg', 'rank': 0.0194}
{'reviewerId': 'Op1d1btEf1B8RokwZLBZvQ', 'rank': 0.0194}
{'reviewerId': 'AJmUkS2J_HVr-HTUoFTxrw', 'rank': 0.0194}
{'reviewerId': 'k4h5VRMWiKzWYPDW1gLj6A', 'rank': 0.0201}
{'reviewerId': '7VjGynQ1oCHZlytlm23Tgg', 'rank': 0.0203}
{'reviewerId': 'E1jR_BAfdiBVw5bgbwwR6A', 'rank': 0.0203}
{'reviewerId': 'nkN_do3fJ9xekchVC-v68A', 'rank': 0.0209}
{'reviewerId': '3Ttx_EwurF4tVRn723SIjw', 'rank': 0.0209}
{'reviewerId': 'GXn4ZsasLKh0qZ5g3nIqcQ', 'rank': 0.0209}
{'reviewerId': 'c6HT44PKCaXqzN_BdgKPCw', 'rank': 0.0217}
{'reviewerId': 'g5J73HwrmtxrUeRV2zfNXg', 'rank': 0.0217}
{'reviewerId': 'LRJgblf3U3v1MwhR7GrnfA', 'rank': 0.0217}
{'reviewerId': 'xcZo4LD1AgwH-aeKD2Rvtw', 'rank': 0.0224}
{'reviewerId': '0GMMy-FD8ImVsF4M6CAE5Q', 'rank': 0.0224}
{'reviewerId': 'XPOx-mCubVGQ1rRknztFtw', 'rank': 0.0224}
{'reviewerId': 'F0B1t6Nnrb97T_UUjoxkzg', 'rank': 0.0224}
{'reviewerId': '9205mX8wPa0yJT-EJnYHjA', 'rank': 0.0224}
{'reviewerId': 'UFzvZYktnjS5rTS4vzlkiQ', 'rank': 0.0224}
{'reviewerId': 'VnlUnPrfae-fbqDoXuvDbw', 'rank': 0.0224}
{'reviewerId': 'L5aqVaJjOksmfOUm8NZcMQ', 'rank': 0.0224}
{'reviewerId': 'T4naIW_x8JtffkKb2HPuqA', 'rank': 0.0224}
{'reviewerId': '7LTJEuot-o0Kn7Z8Og2lwQ', 'rank': 0.0224}
{'reviewerId': '0MFR6Su_osQ2h8mkNu4sPg', 'rank': 0.0224}
{'reviewerId': 'YhJ0B0mL4gaPDOYFYiL5IQ', 'rank': 0.0224}
{'reviewerId': 'n-lBS02-3yvlY5Q91mmwDA', 'rank': 0.0224}
{'reviewerId': 'ayQGIKMmkwpZcpdjzlbd2w', 'rank': 0.0224}
{'reviewerId': 'qG_bVdazAjjAO1l94gqHAg', 'rank': 0.0224}
{'reviewerId': 'rd5Rjmo0xfELP69yWJ8asg', 'rank': 0.0224}
{'reviewerId': 'jXHkSujDkxe5wC3u1_Dc0g', 'rank': 0.0224}
{'reviewerId': 'BI4lPhrUpmEySIJUywjIjQ', 'rank': 0.0224}
{'reviewerId': 'uZmbU9pjZxCKTnxvR-PUrw', 'rank': 0.0224}
{'reviewerId': 'UgZw5ZAPJ7mwt6j3CUOQ9w', 'rank': 0.0224}
{'reviewerId': 'PuTYlDaCCZAiigYpBJQnIQ', 'rank': 0.0224}
{'reviewerId': 'X0q4bFpolUwr_MOKEURbHg', 'rank': 0.0224}
{'reviewerId': 'DjNb1nsTKIsIf75n994DAw', 'rank': 0.0224}
{'reviewerId': 'aLbrRLCPA2jgvDqfZH0NgQ', 'rank': 0.0224}
{'reviewerId': 'X-6RYffT3CfAuREHJVODHA', 'rank': 0.0224}
{'reviewerId': 'v77ANclIVQE4z5RYo2wSKw', 'rank': 0.0224}
{'reviewerId': 'bdWi8YwI0Q6SfiQu2R5v6A', 'rank': 0.0224}
{'reviewerId': 'H4JNrBAoyCk_ZMZWbAf8OA', 'rank': 0.0224}
{'reviewerId': 'XHuNSjrPA3Vyi7n4iVhZaQ', 'rank': 0.0224}
{'reviewerId': 'JkdZsw_ASWWPYIsA2W5fsQ', 'rank': 0.0224}
{'reviewerId': 'B4cJvWuf59j7XlTdexnVZw', 'rank': 0.0224}
{'reviewerId': 'pNyZp46Z_6UoJq4jkIAdng', 'rank': 0.0224}
{'reviewerId': 't-_mu5j9E6LYd1BlpvAfAQ', 'rank': 0.0224}
{'reviewerId': 'Ks751Qm5v97pCo10xYu1mA', 'rank': 0.0224}
{'reviewerId': 'tU3sDq7hTMZs6VSnyolI1A', 'rank': 0.0224}
{'reviewerId': 'VPINiUt71jfnBkGcf-XX_A', 'rank': 0.0224}
{'reviewerId': 'gjZp61JZaqcLrKjEDVSPIQ', 'rank': 0.0224}
{'reviewerId': 'Bf87HcPERF9yiSjb2tQBqw', 'rank': 0.0224}
{'reviewerId': 'G5LXEaxhQMF_BVjNHkVr7g', 'rank': 0.0224}
