{'reviewerId': 'Bs-YIZ4KwRv5g7UfDkJdug', 'rank': 0.0001}
{'reviewerId': 'HhwPTD8_6QmRbRfWvImwuQ', 'rank': 0.0142}
{'reviewerId': 'DzmrwbVKVPlihbiZwoJbWg', 'rank': 0.0142}
{'reviewerId': 'qEYG5IE5dTekjIhdoV31bQ', 'rank': 0.0142}
{'reviewerId': 'DaxcpYKNY38vFvUqRExc1Q', 'rank': 0.0142}
{'reviewerId': 'o7MQeI-3kM_5QXHFSm7R0Q', 'rank': 0.0142}
{'reviewerId': 'veZYygPQQwreDknTjLsYSQ', 'rank': 0.0142}
{'reviewerId': 'W6w0sNlW-S5KA7TMLPDBXw', 'rank': 0.0142}
{'reviewerId': '5QVSMS-vV4jOgDLLPV75Mw', 'rank': 0.0142}
{'reviewerId': 'hx8Xsk244koFUvOnvVb6fQ', 'rank': 0.0142}
{'reviewerId': 'IUUr5qGmt8n8hML642g6cg', 'rank': 0.0142}
{'reviewerId': 'B-UVz3wgMhXmFvRMt5m6lw', 'rank': 0.0142}
{'reviewerId': '3crwKmpHNMuQdzvYHtBzlw', 'rank': 0.0142}
{'reviewerId': 'qdieS2KVqTBO_9LcCVwWzQ', 'rank': 0.0142}
{'reviewerId': 'TZExGajxC02oetl7iQ77eg', 'rank': 0.0142}
{'reviewerId': 'UZllshlr1thOz-mxePmLzQ', 'rank': 0.0142}
{'reviewerId': 'OlhH_-yyVWU6jj8H2TMSiQ', 'rank': 0.0142}
{'reviewerId': 'fHnNpM0L4237GRIhidZm8Q', 'rank': 0.0142}
{'reviewerId': 'uJK7-K3781R7Bn7QVdVcsg', 'rank': 0.0142}
{'reviewerId': 'PkxwtHNXal5w9Qn3kel28A', 'rank': 0.0142}
{'reviewerId': 'tWW1xvaMZmiOD55TcbGmJA', 'rank': 0.0142}
{'reviewerId': '9qi6aYliOySGn_P5FM1oUw', 'rank': 0.0142}
{'reviewerId': 'M57Z4Z2YLfgv9ngjWTHLPA', 'rank': 0.0142}
{'reviewerId': '2t0RKGyolWss7ZpszBmNtQ', 'rank': 0.0143}
{'reviewerId': '4EPNZgN1YLB3VInF92UdBg', 'rank': 0.0143}
{'reviewerId': '2_sDcUKMy3wRELuKH2EGmg', 'rank': 0.0143}
{'reviewerId': '-JrwDqm-mka5EeQFPLi_uw', 'rank': 0.0143}
{'reviewerId': 'zkZg3CBpHYgQRSRCrLyyng', 'rank': 0.0143}
{'reviewerId': 'R2shatkK9JCeyB7D5FBuiw', 'rank': 0.0145}
{'reviewerId': 'ESYyJ0jAhUbhuih1_TBetQ', 'rank': 0.0146}
{'reviewerId': 'LRJgblf3U3v1MwhR7GrnfA', 'rank': 0.0148}
{'reviewerId': 'g5J73HwrmtxrUeRV2zfNXg', 'rank': 0.0148}
{'reviewerId': 'G5LXEaxhQMF_BVjNHkVr7g', 'rank': 0.015}
{'reviewerId': 'u7Uv97_feX1iiATbf_BCyQ', 'rank': 0.015}
{'reviewerId': '0r-GI6qXs51qNsvQIxV_Ow', 'rank': 0.0151}
{'reviewerId': 'k4h5VRMWiKzWYPDW1gLj6A', 'rank': 0.0151}
{'reviewerId': '7PPinRc7cRMHhFuntF29tg', 'rank': 0.0151}
{'reviewerId': 'nzsv-p1O8gCfP3XijfQrIw', 'rank': 0.0153}
{'reviewerId': 'X2QjPg0MgLzzFDYZ77N2fg', 'rank': 0.0155}
{'reviewerId': '7e4CioqxGMByqh0lJP5FZg', 'rank': 0.0155}
{'reviewerId': 'RjaLd1MuAYlwZkRG3lxczQ', 'rank': 0.0157}
{'reviewerId': '6RJBeJlbDGrZO91Qc2NG9A', 'rank': 0.0157}
{'reviewerId': 'r7kbJcKqJ3dJ3TYevNVIRA', 'rank': 0.0159}
{'reviewerId': '2_akhj1xajjbNQcZKnRmgQ', 'rank': 0.0159}
{'reviewerId': 'Q03Bhc_EANf9JqEwI5wR9g', 'rank': 0.0159}
{'reviewerId': 'AhVWzMyXqHibkdr4uHo2kQ', 'rank': 0.0159}
{'reviewerId': 'Op1d1btEf1B8RokwZLBZvQ', 'rank': 0.0159}
{'reviewerId': '-N4TFDLLlHmg73u8Vgs1lQ', 'rank': 0.0159}
{'reviewerId': 'lK4EZYCni-8xbjW4wsuzLQ', 'rank': 0.0159}
{'reviewerId': 'AJmUkS2J_HVr-HTUoFTxrw', 'rank': 0.0159}
{'reviewerId': '5YuDY34-hPFO3phFe_Ml2A', 'rank': 0.0161}
{'reviewerId': '7liab56Gu9WIiqB0xtSXPA', 'rank': 0.0162}
{'reviewerId': '94b0y-FFFIF8hy3SJgXd-g', 'rank': 0.0162}
{'reviewerId': '5L0eiAkoQIVvI_XOjzhFpA', 'rank': 0.0164}
{'reviewerId': '7VjGynQ1oCHZlytlm23Tgg', 'rank': 0.0164}
{'reviewerId': 'E1jR_BAfdiBVw5bgbwwR6A', 'rank': 0.0164}
{'reviewerId': 'PuTYlDaCCZAiigYpBJQnIQ', 'rank': 0.0164}
{'reviewerId': 'Ks751Qm5v97pCo10xYu1mA', 'rank': 0.0164}
{'reviewerId': 'bdWi8YwI0Q6SfiQu2R5v6A', 'rank': 0.0165}
{'reviewerId': 'icK0fkhTkPWvRmOhFUINfA', 'rank': 0.0165}
{'reviewerId': 'H4JNrBAoyCk_ZMZWbAf8OA', 'rank': 0.0165}
{'reviewerId': 'gjZp61JZaqcLrKjEDVSPIQ', 'rank': 0.0165}
{'reviewerId': 'IgkDYXTO6XP7VGi6xIOJbw', 'rank': 0.0167}
{'reviewerId': 'vetI1F4btXdQAe5G2A2ciA', 'rank': 0.0167}
{'reviewerId': '9VJa4yxtnLct0pN_1RcD_w', 'rank': 0.0167}
{'reviewerId': '1h_UV-EwzmqZIB8uErf8ow', 'rank': 0.0167}
{'reviewerId': 'zQGyJfAFr8DpuYM9DuMxFQ', 'rank': 0.0167}
{'reviewerId': 'z3xjvoyYxciPTAG--eNUuQ', 'rank': 0.0167}
{'reviewerId': 'HouF9zUPeul8_OV-eItE6w', 'rank': 0.0167}
{'reviewerId': 'rEfGTtQXrFavj2bqYT9pBA', 'rank': 0.0167}
{'reviewerId': 'UgCASgi_S558dBS2QQYe8g', 'rank': 0.0167}
{'reviewerId': 'Iyn4Nda1pkKWRl4sfqGkjQ', 'rank': 0.0167}
{'reviewerId': '2MNuqIDGkjGz0w424USrgA', 'rank': 0.0167}
{'reviewerId': '4Xi2i_i1RzKkoJ41_1JHig', 'rank': 0.0167}
{'reviewerId': 'qVoijsSHmTc_IKfK5z7F4A', 'rank': 0.0167}
{'reviewerId': '6Q_itWphZ2Fn_qC6I53Fkg', 'rank': 0.0167}
{'reviewerId': 'kIv__6PJpV0ABNfnabJE5w', 'rank': 0.0167}
{'reviewerId': 'Mu6wz7_d6OBgRqkl4_NaXw', 'rank': 0.0167}
{'reviewerId': 'raCKh2I0F-41J5U0OBZz3Q', 'rank': 0.0167}
{'reviewerId': 'LiypBEkQm_uLKsWRjgTV5Q', 'rank': 0.0167}
{'reviewerId': 'KbvByVLRPa0ObnIdR4Ibmw', 'rank': 0.0167}
{'reviewerId': 'VG5ywMxAoIkphtpM9WrAvw', 'rank': 0.0167}
{'reviewerId': 'sMAQSC3Yc50--BCRm4RO6A', 'rank': 0.0167}
{'reviewerId': '7LTJEuot-o0Kn7Z8Og2lwQ', 'rank': 0.0167}
{'reviewerId': 'UQFE3BT1rsIYrcDvu_XVow', 'rank': 0.0167}
{'reviewerId': 'RBv5kcOu37OREU2HKJf4hQ', 'rank': 0.0167}
{'reviewerId': 'F4cbJPyoF1nd3S7Rqz72vw', 'rank': 0.0167}
{'reviewerId': 'ilPH0HCXr4yzcXz6SNPVsA', 'rank': 0.0167}
{'reviewerId': 'RzPd81IBxDPwaWBeNhRk8w', 'rank': 0.0167}
{'reviewerId': 'X0q4bFpolUwr_MOKEURbHg', 'rank': 0.0167}
{'reviewerId': 'UgZw5ZAPJ7mwt6j3CUOQ9w', 'rank': 0.0167}
{'reviewerId': '0ltmHwUQuQde4me8DII0sw', 'rank': 0.0167}
{'reviewerId': 'wpr6gw4FnptTrk1CeT8POg', 'rank': 0.0167}
{'reviewerId': 'RWIuUNWFYYWS2tbQ6VzKJg', 'rank': 0.0167}
{'reviewerId': 'EU2V6NOtkDkMtbIJEeEjzw', 'rank': 0.0167}
{'reviewerId': 'JkdZsw_ASWWPYIsA2W5fsQ', 'rank': 0.0167}
{'reviewerId': '5Us7BcHkyX7vKFbvv1a5FA', 'rank': 0.0167}
{'reviewerId': 'xPE3z3YRe2CWKyYjjICneQ', 'rank': 0.0167}
{'reviewerId': 'v77ANclIVQE4z5RYo2wSKw', 'rank': 0.0167}
{'reviewerId': 'KeZjKwMbqPU2qQO7oGgWLw', 'rank': 0.0167}
{'reviewerId': 'YPuefjfa8t8rI0Cu2D3zJQ', 'rank': 0.0167}
{'reviewerId': 'aJEZeCZEbT26XWjMWMJx1A', 'rank': 0.0167}
{'reviewerId': 'iUeZhkI0OK0BisakOkb3pQ', 'rank': 0.0167}
{'reviewerId': 'Fz3y-d7Ru7wMRnPuwG-OLA', 'rank': 0.0167}
{'reviewerId': 'XHuNSjrPA3Vyi7n4iVhZaQ', 'rank': 0.0167}
{'reviewerId': 'Bf87HcPERF9yiSjb2tQBqw', 'rank': 0.0167}
{'reviewerId': 'Mlhjg_PTkyZ7FReat_COiw', 'rank': 0.0167}
